Id,Author,Description,Timestamp,Location
3664203166191316372,Ken,noga spotted,1789300225,ITU
1167448148027433549,sproede,i saw big bird,1789575558,Vestamager
3389360484355862871,sproede,the moon out my window,1789575558,Home
7294135492363826077,sproede,i saw big bird,1789657359,Vestamager
1823438631798343458,sproede,i saw big bird,1789657424,Vestamager
227357444327700071,sproede,i saw big bird,1789657440,Vestamager
6030555123942117348,sproede,i saw big bird,1789657500,Vestamager
85062869244117256,sproede,i saw big bird,1789657546,Vestamager
717557597743985805,sproede,i saw big bird,1789657623,Vestamager
6114758934382932216,sproede,i saw big bird,1789657671,Vestamager
1437040087274841784,sproede,i saw big bird,1789657696,Vestamager
616345144249134141,sproede,i saw big bird,1789657753,Vestamager
7855657392669643700,sproede,the moon out my window,1789657753,Home
1404355672209096582,sproede,i saw big bird,1789657827,Vestamager
6165738022281513868,sproede,the moon out my window,1789657827,Home
6812504114073989442,tuff,booster,1789826346,mybedroom
2964671002009467899,tuff,booster,1789826484,mybedroom
194122132102274919,tuff,phone,1789826712,mybedroom
